0000	 	2	1
0001	!	1	13
0002	˝	6	14
0003	#	11	14
0004	$	7	14
0005	%	10	13
0006	&	9	13
0007	ʼ	2	14
0008	(	3	14
0009	)	3	14
000A	*	7	12
000B	+	9	12
000C	,	2	5
000D	-	8	8
000E	.	2	5
000F	/	5	13
0010	0	5	13
0011	1	5	13
0012	2	5	13
0013	3	5	13
0014	4	5	13
0015	5	5	13
0016	6	5	13
0017	7	5	13
0018	8	5	13
0019	9	5	13
001A	:	2	11
001B	;	2	11
001C	<	8	11
001D	=	8	10
001E	>	8	11
001F	?	7	13
0020	@	10	13
0021	A	8	13
0022	B	7	13
0023	C	8	13
0024	D	7	13
0025	E	6	13
0026	F	6	13
0027	G	8	13
0028	H	7	13
0029	I	3	13
002A	J	5	13
002B	K	7	13
002C	L	7	13
002D	M	9	13
002E	N	7	13
002F	O	10	13
0030	P	7	13
0031	Q	10	13
0032	R	7	13
0033	S	7	13
0034	T	7	13
0035	U	7	13
0036	V	7	13
0037	W	13	13
0038	X	6	13
0039	Y	7	13
003A	Z	7	13
003B	[	4	14
003C	\	5	13
003D	]	4	14
003E	^	5	14
003F	_	7	1
0040	ʻ	2	14
0041	a	6	10
0042	b	6	13
0043	c	6	10
0044	d	6	13
0045	e	6	10
0046	f	4	13
0047	g	6	10
0048	h	6	13
0049	i	1	13
004A	j	3	13
004B	k	6	13
004C	l	1	13
004D	m	9	10
004E	n	6	10
004F	o	7	10
0050	p	6	10
0051	q	6	10
0052	r	4	10
0053	s	6	10
0054	t	4	12
0055	u	6	10
0056	v	7	10
0057	w	9	10
0058	x	7	10
0059	y	7	10
005A	z	6	10
005B	{	4	14
005C	|	1	15
005D	}	4	14
005E	~	9	9
005F	¥	7	13
0060	¿	7	13
0061	¡	1	13
0062	Œ	11	13
0063	œ	11	10
0064	«	6	12
0065	»	6	12
0066	「	5	13
0067	」	5	10
0068	『	7	13
0069	』	7	10
006A	“	6	14
006B	”	6	14
006C	±	9	12
006D	...	8	5
006E	・	3	9
006F	°	5	15
0070	À	8	15
0071	Á	8	15
0072	Â	8	15
0073	Ã	8	15
0074	Ä	8	15
0075	Å	8	15
0076	Ā	8	15
0077	Æ	9	13
0078	Ǣ	9	15
0079	Ç	8	13
007A	È	6	15
007B	É	6	15
007C	Ê	6	15
007D	Ë	6	15
007E	Ē	6	15
007F	Ì	4	15
0080	Í	5	15
0081	Î	5	15
0082	Ï	6	15
0083	Ī	5	15
0084	Ð	8	13
0085	Ñ	7	15
0086	Ò	10	15
0087	Ó	10	15
0088	Ô	10	15
0089	Õ	10	15
008A	Ö	10	15
008B	Ō	10	15
008C	×	7	10
008D	Ø	10	13
008E	Ù	7	15
008F	Ú	7	15
0090	Û	7	15
0091	Ü	7	15
0092	Ū	7	15
0093	Ý	7	15
0094	Þ	6	13
0095	ß	6	14
0096	à	6	14
0097	á	6	14
0098	â	6	14
0099	ã	6	14
009A	ä	6	13
009B	å	6	14
009C	ā	6	12
009D	æ	9	10
009E	ǣ	9	12
009F	ç	6	10
00A0	è	6	14
00A1	é	6	14
00A2	ê	6	14
00A3	ë	6	13
00A4	ē	6	12
00A5	ì	4	14
00A6	í	4	14
00A7	î	5	14
00A8	ï	5	14
00A9	ī	5	12
00AA	ð	6	14
00AB	ñ	6	13
00AC	ò	7	14
00AD	ó	7	14
00AE	ô	7	14
00AF	õ	7	13
00B0	ö	7	13
00B1	ō	7	12
00B2	÷	8	11
00B3	ø	7	10
00B4	ù	6	14
00B5	ú	6	14
00B6	û	6	14
00B7	ü	6	13
00B8	ū	6	12
00B9	ý	7	14
00BA	þ	6	13
00BB	ÿ	7	13
00BC	<AUTO ADV 13>!	1	13
00BD	'	2	14
00BE	<AUTO ADV 13>.	2	5
00BF	<AUTO ADV 13>?	7	13
00C0	A_bold	9	13
00C1	B_bold	8	13
00C2	C_bold	9	13
00C3	D_bold	8	13
00C4	E_bold	7	13
00C5	\ 	2	1
