15F1EB-3    x possibly needs rewrite? check note
16C5CA-3      needs rewrite
16E989-4    x needs rewrite
1788D4-4    x - start of ending-specific text
178EE7-3    x but confirm last line with someone else
17A8C2-6    x - keep "hitodama" or translate to some equivalent in English?
17BC34-0      needs rewrite
17D596-5      needs rewrite
17DB66-4    x - start of ending specific text
17E59C-7      needs rewrite
17EC43-4    x - choice in route
17F0FB-0    x - alternate path for ending
17F2D0-1    x - last for ending path
188DAB-3    x - start of ending-specific text
188E5A-2      needs rewrite
189183-4      needs rewrite; how to handle honorifics with siblings?
189F81-4      needs rewrite?
18A0B3-1      needs rewrite?
18AAD7-1    x but check with someone else
18AC55-3      needs rewrite
18B021-2    x but confirm translation with someone else
18B138-1      needs rewrite
18CC4B-0      needs rewrite
18D0B0-7      needs rewrite; separate note w/ consistency for alternate paths
18D7E5-2      needs rewrite
18D88E-6      needs rewrite
18D8DF-6      needs rewrite?
18DB97-3      needs rewrite
18DBBB-4      needs rewrite?
18DFE5-4      needs rewrite
18E185-7      needs rewrite
18E1BE-4      needs rewrite
18E372-6      needs rewrite
18E4F7-6      possibly needs rewrite; references Japanese short story
18E511-7      needs rewrite
18E79F-1      needs rewrite; awkward
18EBF3-0      needs rewrite
18F2C8-6      needs rewrite
18F385-1      needs rewrite
18F7B2-5    x good, but special screen with calendar
18F8A0-3    x - note: not much leeway here
18F8FD-6      needs rewrite; 赤口 "red mouth" unlucky day
18FC31-5    x - approximate start of ending-specific text
198182-0      needs rewrites
1981EB-4      needs rewrite
1983D7-2      needs rewrite
198831-6      needs rewrite
1989F2-0      needs rewrite
198A62-3      needs rewrite
198C93-3      needs rewrite
198E39-7      needs rewrite? check with someone else
1995EC-5      needs rewrite
199663-1      needs rewrite
19A0BD-0      needs rewrite
19A11D-2      needs rewrite
19A2A7-2      needs rewrite
19A6B0-1      possibly rewrite, figure out who's saying what
19AC8D-2      needs rewrite
19AF00-2      needs rewrite on "unimaginable"
19AF44-2      needs rewrite
19B33B-4      needs rewrite
19B8F3-6      needs rewrite
19B92D-0    x - start here for choice
19B944-1      needs rewrite
19B981-6      needs rewrite
19BEAF-7      needs rewrite
19BF2C-7      needs rewrite - double check with someone else
19BF7F-4      needs rewrite; try to keep to 1 line
19C0A8-7    x but see note about possibly untranslatable pun
19C2D7-2      needs rewrite
19C300-6      needs rewrite
19C329-2      needs rewrite
19C39A-3      needs rewrite
19C43A-1      needs rewrite
19C668-1      needs rewrite
19C675-2      needs rewrite
19C6A8-1      needs rewrite
19C6F8-4      needs rewrite
19C731-0      needs rewrite
19CBEC-2      needs rewrite
19CC6E-3      needs rewrite on "battle cry" of sorts
19D0FB-2      needs rewrite
19D129-3      needs rewrite
19D14F-6      needs rewrite
19D2E8-5      needs rewrite?
19D5BD-1      needs rewrite
